Month,product_category,Product_Subcategory,Quantity,Unit_Price,Price,Tax,Payment_mode,Store_type,Reviews,Income,city,Gender,Marital_status,Education_Level,Profession_Type,Return
January,Books,Fiction,3,359,1077,188.475,Mobile Payments,e-Shop,1.0,67501.0,Hyderabad,M,0,PhD,Others,1
January,Clothing,Women,5,1129,5645,592.725,Credit Card,TeleShop,1.0,102738.0,Bangalore,M,1,Master,Salaried,1
January,Home and kitchen,Bath,4,1327,5308,696.675,Debit Card,MBR,1.0,104013.0,Kolkata,M,1,Basic,Salaried,1
January,Footwear,Mens,5,1325,6625,695.625,Debit Card,MBR,4.0,92580.0,Hyderabad,M,1,Others,Others,1
January,Clothing,Women,3,1237,3711,649.425,Debit Card,MBR,1.0,101763.0,New Delhi,M,0,Basic,Others,1
January,Bags,Women,5,837,4185,87.885,Mobile Payments,e-Shop,1.0,148478.0,Chennai,F,0,Basic,Salaried,1
January,Home and kitchen,Kitchen,4,931,3724,293.265,Credit Card,Flagship store,1.0,22175.0,New Delhi,F,1,Master,Salaried,1
January,Clothing,Women,2,1211,2422,381.465,Credit Card,e-Shop,2.0,82289.0,Chennai,F,0,Others,Self Employed,1
January,Home and kitchen,Furnishing,1,1497,1497,471.555,Credit Card,e-Shop,1.0,112781.0,Pune,M,0,Master,Salaried,1
January,Bags,Mens,5,1008,5040,211.68,Debit Card,e-Shop,1.0,68091.0,Hyderabad,M,0,Master,Others,1
January,Footwear,Mens,5,1282,6410,403.83,Debit Card,e-Shop,1.0,86990.0,Hyderabad,F,0,Master,Salaried,1
January,Bags,Women,1,1353,1353,568.26,Debit Card,Flagship store,5.0,64456.0,Ahmedabad,M,0,Master,Salaried,1
January,Clothing,Women,5,848,4240,445.2,Debit Card,MBR,2.0,63227.0,Bangalore,M,1,Master,Self Employed,1
January,Home and kitchen,Kitchen,5,1131,5655,237.51,Debit Card,e-Shop,2.0,106649.0,New Delhi,M,1,Master,Self Employed,1
January,Electronics,Mobiles,1,1420,1420,596.4,Debit Card,Flagship store,4.0,98829.0,Bangalore,F,0,Master,Self Employed,1
January,Clothing,Women,4,1467,5868,154.035,Cash,Flagship store,1.0,65827.0,Chennai,F,0,Basic,Salaried,1
January,Home and kitchen,Kitchen,5,479,2395,100.59,Mobile Payments,e-Shop,1.0,123518.0,Pune,M,1,Others,Self Employed,1
January,Bags,Women,4,1197,4788,125.685,Mobile Payments,e-Shop,3.0,129735.0,Gurgaon,M,0,Basic,Salaried,1
January,Home and kitchen,Furnishing,4,1155,4620,121.275,Cash,Flagship store,1.0,86124.0,Vishakhapatnam,F,1,Basic,Self Employed,1
January,Books,DIY,4,1154,4616,484.68,Debit Card,Flagship store,1.0,139257.0,Mumbai,M,1,Basic,Salaried,1
January,Footwear,Women,4,979,3916,308.385,Credit Card,MBR,2.0,91700.0,Kolkata,M,0,PhD,Salaried,1
January,Footwear,Women,5,943,4715,99.015,Mobile Payments,e-Shop,1.0,97624.0,Chennai,F,0,Basic,Others,1
January,Bags,Women,4,1120,4480,470.4,Credit Card,Flagship store,2.0,74847.0,Gurgaon,F,0,Graduation,Others,1
January,Clothing,Women,4,765,3060,321.3,Credit Card,e-Shop,1.0,41969.0,Gurgaon,M,0,Others,Salaried,1
January,Home and kitchen,Kitchen,5,876,4380,459.9,Debit Card,Flagship store,1.0,105773.0,New Delhi,F,1,Graduation,Salaried,1
January,Bags,Mens,3,886,2658,279.09,Debit Card,e-Shop,2.0,74808.0,Bangalore,M,0,Others,Self Employed,0
January,Clothing,Mens,4,132,528,55.44,Mobile Payments,e-Shop,4.0,122968.0,Vishakhapatnam,M,1,Others,Self Employed,0
January,Footwear,Mens,2,261,522,54.81,Mobile Payments,e-Shop,1.0,86830.0,Hyderabad,M,0,PhD,Salaried,0
January,Clothing,Mens,3,876,2628,275.94,Credit Card,e-Shop,5.0,50026.0,Hyderabad,M,0,PhD,Salaried,0
January,Clothing,Women,5,197,985,41.37,Mobile Payments,Flagship store,1.0,83568.0,Hyderabad,F,1,PhD,Self Employed,1
January,Home and kitchen,Bath,3,1416,4248,446.04,Debit Card,Flagship store,5.0,10344.0,Gurgaon,M,0,PhD,Salaried,0
January,Footwear,Kids,3,803,2409,252.945,Credit Card,e-Shop,4.0,93727.0,Vishakhapatnam,F,0,Graduation,Self Employed,0
January,Clothing,Women,4,840,3360,441.0,Debit Card,e-Shop,1.0,137093.0,Kolkata,M,1,Graduation,Self Employed,1
January,Footwear,Women,5,393,1965,41.265,Mobile Payments,TeleShop,1.0,31621.0,Gurgaon,F,1,Graduation,Salaried,1
January,Footwear,Mens,5,1277,6385,670.425,Credit Card,e-Shop,4.0,73093.0,New Delhi,M,0,Graduation,Self Employed,0
January,Bags,Mens,3,1403,4209,441.945,Debit Card,Flagship store,5.0,114573.0,Gurgaon,M,0,Others,Self Employed,0
January,Home and kitchen,Bath,4,1052,4208,441.84,Credit Card,MBR,5.0,53381.0,Ahmedabad,M,0,Others,Self Employed,0
January,Footwear,Kids,4,1049,4196,440.58,Debit Card,MBR,1.0,70569.0,Hyderabad,M,0,Others,Others,0
January,Footwear,Mens,1,976,976,102.48,Mobile Payments,TeleShop,5.0,104425.0,Kolkata,M,1,PhD,Others,0
January,Books,Non-Fiction,3,1044,3132,438.48,Debit Card,Flagship store,1.0,100057.0,Pune,M,1,Master,Salaried,1
January,Electronics,Audio and video,5,1302,6510,683.55,Debit Card,e-Shop,5.0,85694.0,Kolkata,F,0,Master,Salaried,0
January,Clothing,Women,4,1042,4168,437.64,Debit Card,MBR,5.0,137738.0,Kolkata,F,0,Others,Others,0
January,Bags,Women,3,1139,3417,358.785,Debit Card,MBR,3.0,124847.0,Chennai,F,1,Master,Salaried,0
January,Electronics,Computers,5,212,1060,111.3,Mobile Payments,e-Shop,4.0,34689.0,Pune,F,1,PhD,Salaried,0
January,Electronics,Cameras,3,1007,3021,317.205,Credit Card,e-Shop,5.0,40444.0,New Delhi,M,1,PhD,Others,0
January,Footwear,Mens,5,160,800,84.0,Mobile Payments,e-Shop,4.0,93977.0,New Delhi,M,1,PhD,Salaried,0
January,Home and kitchen,Tools,2,1097,2194,230.37,Debit Card,TeleShop,5.0,88610.0,Mumbai,M,1,PhD,Others,0
January,Footwear,Kids,5,819,4095,429.975,Credit Card,Flagship store,1.0,114814.0,Kolkata,M,0,Others,Others,0
January,Bags,Women,1,1331,1331,139.755,Mobile Payments,MBR,5.0,87388.0,New Delhi,M,1,Others,Self Employed,0
January,Footwear,Women,3,1360,4080,428.4,Debit Card,MBR,5.0,92334.0,Chennai,M,0,PhD,Salaried,0
January,Electronics,Mobiles,5,1406,7030,738.15,Debit Card,TeleShop,5.0,44008.0,Ahmedabad,F,0,Basic,Salaried,0
January,Bags,Mens,4,1426,5704,748.65,Credit Card,e-Shop,1.0,30874.0,Vishakhapatnam,M,0,PhD,Salaried,1
January,Books,Academic,1,427,427,44.835,Mobile Payments,e-Shop,5.0,64510.0,New Delhi,F,1,Graduation,Others,0
January,Books,DIY,5,498,2490,261.45,Debit Card,MBR,5.0,101046.0,New Delhi,F,1,PhD,Self Employed,0
January,Footwear,Women,5,547,2735,287.175,Credit Card,e-Shop,5.0,26987.0,Gurgaon,M,0,Others,Salaried,0
January,Clothing,Mens,1,581,581,61.005,Mobile Payments,TeleShop,4.0,116484.0,Mumbai,M,0,Others,Others,0
January,Home and kitchen,Bath,3,1163,3489,366.345,Debit Card,e-Shop,4.0,128539.0,Hyderabad,M,0,Others,Salaried,0
January,Books,Fiction,3,1463,4389,460.845,Debit Card,e-Shop,5.0,130461.0,Hyderabad,M,1,Others,Self Employed,0
January,Footwear,Mens,2,1318,2636,276.78,Credit Card,MBR,2.0,133795.0,New Delhi,F,1,Others,Self Employed,0
January,Clothing,Women,2,583,1166,122.43,Mobile Payments,TeleShop,4.0,102735.0,Kolkata,M,1,Master,Others,0
January,Footwear,Mens,4,755,3020,317.1,Credit Card,Flagship store,2.0,55763.0,Kolkata,M,1,PhD,Salaried,0
January,Books,Fiction,4,1003,4012,421.26,Credit Card,Flagship store,5.0,80003.0,Kolkata,M,1,PhD,Salaried,0
January,Clothing,Mens,3,1335,4005,420.525,Credit Card,Flagship store,1.0,126098.0,Vishakhapatnam,F,0,Master,Others,0
January,Footwear,Mens,5,887,4435,465.675,Debit Card,e-Shop,5.0,142655.0,Pune,F,1,PhD,Others,0
January,Books,DIY,4,1255,5020,527.1,Debit Card,e-Shop,5.0,111047.0,Bangalore,M,0,Master,Self Employed,0
January,Books,Non-Fiction,1,805,805,84.525,Cash,Flagship store,2.0,119180.0,Kolkata,M,0,PhD,Self Employed,0
January,Clothing,Women,3,1320,3960,415.8,Credit Card,MBR,5.0,46875.0,New Delhi,F,1,Master,Salaried,0
January,Clothing,Women,3,970,2910,305.55,Credit Card,TeleShop,1.0,28936.0,Ahmedabad,M,0,PhD,Salaried,0
January,Home and kitchen,Bath,3,331,993,104.265,Mobile Payments,MBR,5.0,158148.0,Mumbai,F,1,Master,Self Employed,0
January,Electronics,Mobiles,4,1304,5216,410.76,Credit Card,MBR,1.0,65189.0,Chennai,M,0,PhD,Others,1
January,Books,Fiction,5,1212,6060,636.3,Debit Card,e-Shop,5.0,116090.0,Bangalore,F,0,Master,Self Employed,0
January,Footwear,Kids,5,780,3900,245.7,Credit Card,TeleShop,2.0,18530.0,New Delhi,M,0,Others,Self Employed,1
January,Books,Fiction,5,996,4980,313.74,Debit Card,Flagship store,1.0,29291.0,Ahmedabad,F,1,Others,Self Employed,1
January,Footwear,Women,4,969,3876,406.98,Credit Card,MBR,3.0,41367.0,Ahmedabad,M,1,Others,Others,0
January,Books,Non-Fiction,5,475,2375,99.75,Mobile Payments,e-Shop,2.0,131528.0,Vishakhapatnam,M,1,Others,Salaried,1
January,Clothing,Mens,3,1288,3864,405.72,Credit Card,MBR,5.0,59396.0,Ahmedabad,M,0,Master,Salaried,0
January,Home and kitchen,Tools,2,1109,2218,232.89,Credit Card,e-Shop,3.0,71814.0,Ahmedabad,F,1,Master,Self Employed,0
January,Clothing,Women,5,1183,5915,621.075,Debit Card,TeleShop,5.0,109431.0,Mumbai,M,1,Master,Others,0
January,Books,Fiction,1,402,402,42.21,Mobile Payments,e-Shop,5.0,71544.0,Pune,F,0,Others,Others,0
January,Clothing,Women,5,606,3030,190.89,Mobile Payments,TeleShop,1.0,89304.0,Ahmedabad,M,1,Others,Salaried,1
January,Bags,Women,3,516,1548,162.54,Mobile Payments,e-Shop,5.0,121192.0,Gurgaon,M,1,Basic,Others,0
January,Footwear,Mens,1,583,583,61.215,Mobile Payments,e-Shop,5.0,119142.0,Mumbai,M,1,Others,Others,0
January,Home and kitchen,Tools,1,1193,1193,125.265,Mobile Payments,Flagship store,4.0,157782.0,Gurgaon,M,1,Master,Others,0
January,Footwear,Mens,2,855,1710,179.55,Mobile Payments,e-Shop,2.0,117831.0,Chennai,M,1,Others,Salaried,0
January,Footwear,Mens,3,1274,3822,401.31,Debit Card,Flagship store,5.0,12552.0,Bangalore,M,0,Master,Others,0
January,Clothing,Mens,5,298,1490,156.45,Mobile Payments,e-Shop,4.0,94754.0,Ahmedabad,M,1,Master,Salaried,1
January,Home and kitchen,Tools,2,1310,2620,275.1,Debit Card,Flagship store,4.0,146989.0,Bangalore,F,1,PhD,Salaried,0
January,Clothing,Mens,4,950,3800,399.0,Debit Card,MBR,5.0,107581.0,Chennai,M,1,Others,Self Employed,0
January,Footwear,Mens,4,811,3244,340.62,Debit Card,TeleShop,2.0,58272.0,Vishakhapatnam,M,0,Master,Self Employed,0
January,Books,Academic,5,752,3760,394.8,Debit Card,Flagship store,3.0,25929.0,New Delhi,M,0,Master,Self Employed,0
January,Clothing,Women,3,1263,3789,397.845,Debit Card,TeleShop,5.0,100729.0,Ahmedabad,M,0,Others,Salaried,0
