product_category,Product_Subcategory,Quantity,Unit_Price,Price,Tax,Payment_mode,Reviews,Income,city,Return,total_price,tax_ratio
Books,Fiction,3,359,1077,188.475,Mobile Payments,1.0,67501.0,Hyderabad,1,1265.475,0.17483766233766232
Clothing,Women,5,1129,5645,592.725,Credit Card,1.0,102738.0,Bangalore,1,6237.725,0.10498140276301807
Home and kitchen,Bath,4,1327,5308,696.675,Debit Card,1.0,104013.0,Kolkata,1,6004.675,0.13122527783009982
Footwear,Mens,5,1325,6625,695.625,Debit Card,4.0,92580.0,Hyderabad,1,7320.625,0.10498415333534561
Clothing,Women,3,1237,3711,649.425,Debit Card,1.0,101763.0,New Delhi,1,4360.425,0.17495285560344825
Bags,Women,5,837,4185,87.885,Mobile Payments,1.0,148478.0,Chennai,1,4272.885,0.020994983277591975
Home and kitchen,Kitchen,4,931,3724,293.265,Credit Card,1.0,22175.0,New Delhi,1,4017.265,0.07872885906040268
Clothing,Women,2,1211,2422,381.465,Credit Card,2.0,82289.0,Chennai,1,2803.465,0.15743499793644242
Home and kitchen,Furnishing,1,1497,1497,471.555,Credit Card,1.0,112781.0,Pune,1,1968.555,0.31478971962616825
Bags,Mens,5,1008,5040,211.68,Debit Card,1.0,68091.0,Hyderabad,1,5251.68,0.041991668319777825
Footwear,Mens,5,1282,6410,403.83,Debit Card,1.0,86990.0,Hyderabad,1,6813.83,0.06299017313991577
Bags,Women,1,1353,1353,568.26,Debit Card,5.0,64456.0,Ahmedabad,1,1921.26,0.4196898079763663
Clothing,Women,5,848,4240,445.2,Debit Card,2.0,63227.0,Bangalore,1,4685.2,0.10497524168828107
Home and kitchen,Kitchen,5,1131,5655,237.51,Debit Card,2.0,106649.0,New Delhi,1,5892.51,0.04199257425742574
Electronics,Mobiles,1,1420,1420,596.4,Debit Card,4.0,98829.0,Bangalore,1,2016.4,0.41970443349753694
Clothing,Women,4,1467,5868,154.035,Cash,1.0,65827.0,Chennai,1,6022.035,0.026245527347077868
Home and kitchen,Kitchen,5,479,2395,100.59,Mobile Payments,1.0,123518.0,Pune,1,2495.59,0.04198247078464107
Bags,Women,4,1197,4788,125.685,Mobile Payments,3.0,129735.0,Gurgaon,1,4913.685,0.026244518688661518
Home and kitchen,Furnishing,4,1155,4620,121.275,Cash,1.0,86124.0,Vishakhapatnam,1,4741.275,0.02624431941138282
Books,DIY,4,1154,4616,484.68,Debit Card,1.0,139257.0,Mumbai,1,5100.68,0.1049772579597141
Footwear,Women,4,979,3916,308.385,Credit Card,2.0,91700.0,Kolkata,1,4224.385,0.07872989532805719
Footwear,Women,5,943,4715,99.015,Mobile Payments,1.0,97624.0,Chennai,1,4814.015,0.020995547073791348
Bags,Women,4,1120,4480,470.4,Credit Card,2.0,74847.0,Gurgaon,1,4950.4,0.10497656773041732
Clothing,Women,4,765,3060,321.3,Credit Card,1.0,41969.0,Gurgaon,1,3381.3,0.1049656974844822
Home and kitchen,Kitchen,5,876,4380,459.9,Debit Card,1.0,105773.0,New Delhi,1,4839.9,0.10497603286920794
Bags,Mens,3,886,2658,279.09,Debit Card,2.0,74808.0,Bangalore,0,2937.09,0.10496051147047761
Clothing,Mens,4,132,528,55.44,Mobile Payments,4.0,122968.0,Vishakhapatnam,0,583.44,0.10480151228733459
Footwear,Mens,2,261,522,54.81,Mobile Payments,1.0,86830.0,Hyderabad,0,576.81,0.10479923518164437
Clothing,Mens,3,876,2628,275.94,Credit Card,5.0,50026.0,Hyderabad,0,2903.94,0.10496006085964245
Clothing,Women,5,197,985,41.37,Mobile Payments,1.0,83568.0,Hyderabad,1,1026.37,0.04195740365111562
Home and kitchen,Bath,3,1416,4248,446.04,Debit Card,5.0,10344.0,Gurgaon,0,4694.04,0.10497528830313016
Footwear,Kids,3,803,2409,252.945,Credit Card,4.0,93727.0,Vishakhapatnam,0,2661.945,0.1049564315352697
Clothing,Women,4,840,3360,441.0,Debit Card,1.0,137093.0,Kolkata,1,3801.0,0.13121094912228504
Footwear,Women,5,393,1965,41.265,Mobile Payments,1.0,31621.0,Gurgaon,1,2006.265,0.020989318413021364
Footwear,Mens,5,1277,6385,670.425,Credit Card,4.0,73093.0,New Delhi,0,7055.425,0.10498355778264953
Bags,Mens,3,1403,4209,441.945,Debit Card,5.0,114573.0,Gurgaon,0,4650.945,0.1049750593824228
Home and kitchen,Bath,4,1052,4208,441.84,Credit Card,5.0,53381.0,Ahmedabad,0,4649.84,0.10497505345687812
Footwear,Kids,4,1049,4196,440.58,Debit Card,1.0,70569.0,Hyderabad,0,4636.58,0.10497498213009292
Footwear,Mens,1,976,976,102.48,Mobile Payments,5.0,104425.0,Kolkata,0,1078.48,0.10489252814738997
Books,Non-Fiction,3,1044,3132,438.48,Debit Card,1.0,100057.0,Pune,1,3570.48,0.13995531439514844
Electronics,Audio and video,5,1302,6510,683.55,Debit Card,5.0,85694.0,Kolkata,0,7193.55,0.10498387344493933
Clothing,Women,4,1042,4168,437.64,Debit Card,5.0,137738.0,Kolkata,0,4605.64,0.1049748141041017
Bags,Women,3,1139,3417,358.785,Debit Card,3.0,124847.0,Chennai,0,3775.785,0.10496928028086601
Electronics,Computers,5,212,1060,111.3,Mobile Payments,4.0,34689.0,Pune,0,1171.3,0.10490103675777568
Electronics,Cameras,3,1007,3021,317.205,Credit Card,5.0,40444.0,New Delhi,0,3338.205,0.10496525479814692
Footwear,Mens,5,160,800,84.0,Mobile Payments,4.0,93977.0,New Delhi,0,884.0,0.10486891385767791
Home and kitchen,Tools,2,1097,2194,230.37,Debit Card,5.0,88610.0,Mumbai,0,2424.37,0.10495216400911161
Footwear,Kids,5,819,4095,429.975,Credit Card,1.0,114814.0,Kolkata,0,4524.975,0.104974365234375
Bags,Women,1,1331,1331,139.755,Mobile Payments,5.0,87388.0,New Delhi,0,1470.755,0.10492117117117117
Footwear,Women,3,1360,4080,428.4,Debit Card,5.0,92334.0,Chennai,0,4508.4,0.10497427101200686
Electronics,Mobiles,5,1406,7030,738.15,Debit Card,5.0,44008.0,Ahmedabad,0,7768.15,0.10498506613568483
Bags,Mens,4,1426,5704,748.65,Credit Card,1.0,30874.0,Vishakhapatnam,1,6452.65,0.13122699386503067
Books,Academic,1,427,427,44.835,Mobile Payments,5.0,64510.0,New Delhi,0,471.835,0.10475467289719627
Books,DIY,5,498,2490,261.45,Debit Card,5.0,101046.0,New Delhi,0,2751.45,0.10495784825371336
Footwear,Women,5,547,2735,287.175,Credit Card,5.0,26987.0,Gurgaon,0,3022.175,0.10496162280701755
Clothing,Mens,1,581,581,61.005,Mobile Payments,4.0,116484.0,Mumbai,0,642.005,0.10481958762886598
Home and kitchen,Bath,3,1163,3489,366.345,Debit Card,4.0,128539.0,Hyderabad,0,3855.3450000000003,0.10496991404011462
Books,Fiction,3,1463,4389,460.845,Debit Card,5.0,130461.0,Hyderabad,0,4849.845,0.10497608200455581
Footwear,Mens,2,1318,2636,276.78,Credit Card,2.0,133795.0,New Delhi,0,2912.7799999999997,0.10496018202502844
Clothing,Women,2,583,1166,122.43,Mobile Payments,4.0,102735.0,Kolkata,0,1288.43,0.10491002570694088
Footwear,Mens,4,755,3020,317.1,Credit Card,2.0,55763.0,Kolkata,0,3337.1,0.10496524329692156
Books,Fiction,4,1003,4012,421.26,Credit Card,5.0,80003.0,Kolkata,0,4433.26,0.10497383503613257
Clothing,Mens,3,1335,4005,420.525,Credit Card,1.0,126098.0,Vishakhapatnam,0,4425.525,0.10497378931602595
Footwear,Mens,5,887,4435,465.675,Debit Card,5.0,142655.0,Pune,0,4900.675,0.1049763300270514
Books,DIY,4,1255,5020,527.1,Debit Card,5.0,111047.0,Bangalore,0,5547.1,0.10497908783110935
Books,Non-Fiction,1,805,805,84.525,Cash,2.0,119180.0,Kolkata,0,889.525,0.10486972704714641
Clothing,Women,3,1320,3960,415.8,Credit Card,5.0,46875.0,New Delhi,0,4375.8,0.10497349154253977
Clothing,Women,3,970,2910,305.55,Credit Card,1.0,28936.0,Ahmedabad,0,3215.55,0.10496392992098935
Home and kitchen,Bath,3,331,993,104.265,Mobile Payments,5.0,158148.0,Mumbai,0,1097.265,0.1048943661971831
Electronics,Mobiles,4,1304,5216,410.76,Credit Card,1.0,65189.0,Chennai,1,5626.76,0.07873490511788384
Books,Fiction,5,1212,6060,636.3,Debit Card,5.0,116090.0,Bangalore,0,6696.3,0.1049826761260518
Footwear,Kids,5,780,3900,245.7,Credit Card,2.0,18530.0,New Delhi,1,4145.7,0.06298385029479621
Books,Fiction,5,996,4980,313.74,Debit Card,1.0,29291.0,Ahmedabad,1,5293.74,0.06298735193736198
Footwear,Women,4,969,3876,406.98,Credit Card,3.0,41367.0,Ahmedabad,0,4282.98,0.10497291720402374
Books,Non-Fiction,5,475,2375,99.75,Mobile Payments,2.0,131528.0,Vishakhapatnam,1,2474.75,0.04198232323232323
Clothing,Mens,3,1288,3864,405.72,Credit Card,5.0,59396.0,Ahmedabad,0,4269.72,0.10497283311772317
Home and kitchen,Tools,2,1109,2218,232.89,Credit Card,3.0,71814.0,Ahmedabad,0,2450.89,0.10495268138801261
Clothing,Women,5,1183,5915,621.075,Debit Card,5.0,109431.0,Mumbai,0,6536.075,0.10498225152129818
Books,Fiction,1,402,402,42.21,Mobile Payments,5.0,71544.0,Pune,0,444.21,0.1047394540942928
Clothing,Women,5,606,3030,190.89,Mobile Payments,1.0,89304.0,Ahmedabad,1,3220.89,0.06297921478060045
Bags,Women,3,516,1548,162.54,Mobile Payments,5.0,121192.0,Gurgaon,0,1710.54,0.10493221433182698
Footwear,Mens,1,583,583,61.215,Mobile Payments,5.0,119142.0,Mumbai,0,644.215,0.10482020547945206
Home and kitchen,Tools,1,1193,1193,125.265,Mobile Payments,4.0,157782.0,Gurgaon,0,1318.265,0.10491206030150754
Footwear,Mens,2,855,1710,179.55,Mobile Payments,2.0,117831.0,Chennai,0,1889.55,0.1049386323787259
Footwear,Mens,3,1274,3822,401.31,Debit Card,5.0,12552.0,Bangalore,0,4223.31,0.10497253465864505
Clothing,Mens,5,298,1490,156.45,Mobile Payments,4.0,94754.0,Ahmedabad,1,1646.45,0.10492957746478873
Home and kitchen,Tools,2,1310,2620,275.1,Debit Card,4.0,146989.0,Bangalore,0,2895.1,0.10495993895459749
Clothing,Mens,4,950,3800,399.0,Debit Card,5.0,107581.0,Chennai,0,4199.0,0.10497237569060773
Footwear,Mens,4,811,3244,340.62,Debit Card,2.0,58272.0,Vishakhapatnam,0,3584.62,0.10496764252696457
Books,Academic,5,752,3760,394.8,Debit Card,3.0,25929.0,New Delhi,0,4154.8,0.10497208189311354
Clothing,Women,3,1263,3789,397.845,Debit Card,5.0,100729.0,Ahmedabad,0,4186.845,0.10497229551451188
Home and kitchen,Furnishing,2,904,1808,189.84,Mobile Payments,5.0,91872.0,Ahmedabad,0,1997.84,0.1049419568822554
Books,Fiction,5,1224,6120,642.6,Credit Card,5.0,136061.0,Vishakhapatnam,0,6762.6,0.10498284594020585
Footwear,Mens,3,989,2967,311.535,Credit Card,5.0,108993.0,Hyderabad,0,3278.535,0.10496462264150944
Home and kitchen,Tools,2,1007,2014,211.47,Debit Card,3.0,30214.0,Chennai,0,2225.47,0.10494789081885857
Clothing,Women,3,1237,3711,389.655,Credit Card,4.0,100098.0,Kolkata,0,4100.655,0.10497171336206895
Footwear,Kids,3,1025,3075,322.875,Debit Card,5.0,61508.0,New Delhi,0,3397.875,0.10496586475942783
Clothing,Mens,1,1236,1236,129.78,Mobile Payments,3.0,22187.0,Bangalore,0,1365.78,0.10491511721907841
Home and kitchen,Furnishing,5,237,1185,124.425,Mobile Payments,5.0,149785.0,Bangalore,0,1309.425,0.1049114671163575
Footwear,Kids,3,1227,3681,386.505,Credit Card,4.0,102905.0,Bangalore,0,4067.505,0.10497148288973383
Footwear,Kids,3,1414,4242,445.41,Debit Card,4.0,58795.0,Bangalore,0,4687.41,0.10497525335847278
Clothing,Women,4,793,3172,333.06,Debit Card,5.0,74808.0,Bangalore,0,3505.06,0.10496690828868578
Electronics,Computers,3,1198,3594,377.37,Credit Card,4.0,14995.0,Vishakhapatnam,0,3971.37,0.10497079276773297
Footwear,Mens,4,1089,4356,457.38,Credit Card,5.0,102474.0,Bangalore,0,4813.38,0.10497590084920817
Bags,Women,1,275,275,28.875,Mobile Payments,5.0,74929.0,Kolkata,0,303.875,0.10461956521739131
Clothing,Mens,3,820,2460,258.3,Credit Card,3.0,110636.0,Chennai,0,2718.3,0.1049573344169037
Home and kitchen,Furnishing,2,1495,2990,313.95,Debit Card,4.0,22227.0,Gurgaon,0,3303.95,0.10496489468405215
Clothing,Women,1,1442,1442,151.41,Mobile Payments,5.0,28755.0,Chennai,0,1593.41,0.10492723492723492
Bags,Women,2,1381,2762,290.01,Debit Card,5.0,122115.0,Ahmedabad,0,3052.01,0.10496199782844734
Footwear,Kids,4,718,2872,301.56,Debit Card,1.0,78764.0,Gurgaon,0,3173.56,0.10496345283675601
Home and kitchen,Tools,5,1190,5950,624.75,Credit Card,5.0,38730.0,Vishakhapatnam,0,6574.75,0.10498235590657032
Footwear,Women,1,88,88,9.24,Mobile Payments,5.0,85643.0,Mumbai,0,97.24,0.10382022471910113
Electronics,Computers,2,1335,2670,280.35,Debit Card,2.0,123129.0,Ahmedabad,0,2950.35,0.10496068888056909
Clothing,Mens,4,1335,5340,560.7,Debit Card,4.0,98343.0,Mumbai,0,5900.7,0.10498034076015728
Books,DIY,5,385,1925,80.85,Cash,1.0,134941.0,Ahmedabad,1,2005.85,0.041978193146417445
Books,DIY,2,1221,2442,256.41,Credit Card,5.0,107038.0,Mumbai,0,2698.41,0.1049570200573066
Home and kitchen,Furnishing,5,983,4915,516.075,Debit Card,4.0,107132.0,Gurgaon,0,5431.075,0.1049786411716843
Home and kitchen,Tools,3,1437,4311,452.655,Debit Card,4.0,59932.0,New Delhi,0,4763.655,0.10497564935064935
Electronics,Mobiles,1,892,892,374.64,Debit Card,2.0,21759.0,Mumbai,1,1266.6399999999999,0.41952967525195967
